ID,Title,N_of_page,N_of_author,N_of_keyword
5669299,Simulating Multiple Character Interactions with Collaborative and Adversarial Goals,12,3,26
5728806,Human Motion Retrieval from Hand-Drawn Sketch,12,4,38
5887326,A Space-Filling Visualization Technique for Multivariate Small-World Graphs,13,6,33
5887329,Restricted Trivariate Polycube Splines for Volumetric Data Modeling,14,5,31
5887330,Direct Isosurface Visualization of Hex-Based High-Order Geometry and Attribute Representations,14,3,29
5887331,Ambiguity-Free Edge-Bundling for Interactive Graph Visualization,12,4,30
5887332,Maintaining Large Time Steps in Explicit Finite Element Simulations Using Shape Matching,12,4,39
5928333,Design and Evaluation of MagnetViz-A Graph Visualization Tool,14,2,28
5928334,Morse Set Classification and Hierarchical Refinement Using Conley Index,16,5,33
5928336,A 2D Flow Visualization User Study Using Explicit Flow Synthesis and Implicit Task Design,14,6,48
6018964,Identifying Place Histories from Activity Traces with an Eye to Parameter Impact,14,5,45
6051432,Visual Readability Analysis: How to Make Your Writings Easier to Read,13,4,28
6104042,Co-Located Collaborative Visual Analytics around a Tabletop Display,14,6,28
